idDiffusion	idLog	idAbonne
3059162	114385734	5350628
3059162	114385735	76014763
3059168	115167940	952043
3059164	115189625	463785
3059168	115199620	443063
3059168	115260731	552473
1462004	114618298	1112833
3059164	114618299	43849244
1462004	114618300	1224277
1462004	114618301	1774945
1462004	114618302	2374994
1462004	114618303	3027007
1462004	114618304	1821722491
3059164	114618306	1509712
1462004	114618308	1346427
1462004	114618309	915281545
1462004	114618311	840916
1462004	114618312	1560437
1462004	114618313	13214773
1458601	114618314	3028906
1462004	114618315	19246
1462004	114618317	2213580
1462004	114618318	1033830350
3059164	114618319	12949781
1462004	114618321	157726925
1462004	114618322	3028984
1462004	114618323	12953843
1462004	114618324	937509
1462004	114618325	456024858
1462004	114618326	1383009
1462004	114618327	1639722471
1462004	114618331	12986527
1462004	114618332	423694
1462004	114618333	687471
1462004	114618334	1187113
1462004	114618335	1021399
1462004	114618336	1498760133
1462004	114618337	1678264
1462004	114618339	456024935
1462004	114618340	28223
1462004	114618341	595577
1462004	114618342	1084099
3059164	114618345	581615
1462004	114618346	3017379
1462004	114618347	1013941
1462004	114618348	978146
3059162	114618349	868697058
1462004	114618351	416749
1462004	114618352	878563
1462004	114618353	13142129
1462004	114618354	1807987
3059164	114618355	1585692
1462004	114618356	892651
1462004	114618357	1377567
3059164	114618358	13177838
1462004	114618359	893263
1462004	114618361	1568276
1462004	114618362	1941100881
1462004	114618363	31652
1462004	114618364	536939
1462004	114618365	1669924
1462004	114618366	3025834
1462004	114618367	1476392
1462004	114618368	536939
1462004	114618370	2261640
1462004	114618371	3019108
1462004	114618372	400019
1462004	114618373	1517023
1462004	114618375	1873157
1462004	114618376	3041985
1462004	114618378	1081182
1462004	114618381	13148609
1462004	114618383	13148511
1462004	114618384	982485
1462004	114618385	936961
1462004	114618388	1246319
1462004	114618389	2364038
1462004	114618390	462769
1462004	114618391	466849
1462004	114618392	1596324840
1462004	114618393	2393459
1462004	114618394	1632408
1462004	114618396	1588770003
3059162	114618399	3015474
1462004	114618401	572242
1462004	114618402	2157799
1462004	114618403	1477962
1462004	114618404	1392040
1462004	114618405	2262054
1462004	114618406	2307029
1462004	114618407	2401098
1462004	114618408	2262054
1462004	114618409	2269278
3059164	114618410	664353
1462004	114618411	1580093
1462004	114618412	2723290
1462004	114618413	3032970
1462004	114618415	2723290
1462004	114618417	885285
1462004	114618418	2675555
1462004	114618419	2723290
1462004	114618420	1811499015
1462004	114618421	2403211
1462004	114618422	2732892
1462004	114618423	3014232
3059170	115168619	3023600
3059162	115168620	1262203
3059165	115168646	3023600
1461603	115317138	3036077
1461603	115317145	516755
3059168	115317160	3036077
3059170	115317176	1569794
3059168	115317209	1828673255
3059167	115317210	1080395
3059165	115167944	1685312
1458601	115167945	1685312
1461603	115167946	952043
3059168	115167947	13272812
3059165	115167953	3035679
3059170	115167955	2102156763
3059170	115167958	13342680
3059168	115167962	1455296480
3059168	115167963	1455296480
3059167	115167965	952043
3059168	115167969	1703576
3059168	115167970	1703576
1462004	115167976	3035679
3059168	115167979	892279
3059168	115167980	12892558
1461603	115167982	892279
3059167	115167992	892279
3059168	115167999	1222357
3059164	115168003	1449959
3059168	115168004	1552387
1461603	115168006	1552387
3059167	115168007	1552387
3059168	115168008	13231232
1461603	115168086	33907
3059170	115168087	2085900685
3059168	115168096	1677161877
3059168	115179192	483627
1461603	115179407	2392975
1461603	115179408	421111
3059168	115179411	13154822
3059168	115179412	900879
1461603	115179415	900879
3059168	115179416	12942194
3059167	115211300	2143802991
3059168	115211306	13248160
3059168	115211309	1280086
1461603	115211314	609153
3059168	115211315	1636894
1458601	115211316	1478312319
1461603	115211317	1595516164
3059168	115211321	13312119
1458601	115211322	1451961462
1461603	115211329	13312119
3059167	115211330	13312119
3059165	115211332	13312119
1458601	115211336	1083092
3059168	115211347	1319703
3059168	115211355	707443
3059168	115211356	1044380
1461603	115211359	1508112523
3059168	115211361	785484863
